name,abbreviation,staff_tests,staff_tests_with_multiples,total_staff_cases,staff_recovered,total_staff_deaths,staff_partial_dose,staff_full_dose,prisoner_tests,prisoner_tests_with_multiples,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,prisoners_partial_dose,prisoners_full_dose,as_of_date,notes
Delaware,DE,,,,,,,,,,,,13,,,06/15/2021,
Florida,FL,,,,,,,,,,,,,,,06/15/2021,
Georgia,GA,,,1745,1723,4,1650,,,,3869,3768,93,26569,,06/15/2021,
Hawaii,HI,,,267,258,0,,,,19460,2178,2041,9,,,06/14/2021,
Idaho,ID,6481,,484,481,0,250,214,11968,,4164,4091,6,4195,3830,06/15/2021,
Illinois,IL,,278704,4624,4582,1,,4868,,655506,10913,10910,88,,18895,06/15/2021,
Indiana,IN,,5721,1545,1520,4,,,,23964,3719,3656,51,13651,12842,06/16/2021,
Iowa,IA,,,710,705,2,1310,1334,,48711,4890,4865,19,3754,5103,06/16/2021,
Kansas,KS,,,1218,,6,1431,,,,6116,,16,6577,,06/17/2021,Vaccines as of 6/16
Kentucky,KY,,,1112,,5,,,,,7909,,48,,,06/18/2021,
Louisiana,LA,2480,,947,936,6,2213,2168,9279,,3209,3111,36,9572,9037,06/15/2021,
Maine,ME,,,,,,,,,10488,197,,,,,06/18/2021,
Maryland,MD,,105309,2346,2325,4,4048,4059,,80989,4481,4448,30,11186,8959,06/18/2021,64 staff were fully vaccinated with the one-shot Johnson & Johnson vaccine
Massachusetts,MA,,,954,,,3148,2842,,40333,2574,,21,4824,4429,06/16/2021,
Michigan,MI,,258572,4401,,6,,,42181,978781,,26073,141,12485,20174,06/18/2021,"Vaccines as of 6/18. 8329 prisoners received the one-shot Johnson & Johnson vaccine and were fully vaccinated. Michigan later revised its total cases down by 1 after this week, so we removed the incorrect total here."
Minnesota,MN,,,1137,947,0,,,,118258,4229,4219,12,1669,4935,06/16/2021,4191 prisoners have received the one-shot Johnson & Johnson vaccine. We remove 38 presumed positives from the recovered prisoners each week
Mississippi,MS,,,,,,692,546,,3448,1399,,23,12572,9901,06/16/2021,
Missouri,MO,,13002,2641,2618,6,,,,87923,5885,5813,48,,,06/16/2021,
Montana,MT,,,285,,0,,,,,1138,,6,,,06/16/2021,
Nebraska,NE,,,,,,,,3679,6788,983,977,6,,,06/17/2021,
Nevada,NV,,,1006,,3,1292,,,,4572,,,6531,,06/15/2021,
New Hampshire,NH,,,186,186,0,,,,2081,460,457,3,,,06/15/2021,
New Jersey,NJ,,227359,2924,,,,,,310312,4806,,53,,,06/13/2021,
New Mexico,NM,,,973,971,0,1692,1681,,55098,2990,2959,28,4361,4271,06/15/2021,
New York,NY,,,5171,5132,8,7550,7965,,102601,6596,6555,35,,,06/17/2021,
North Carolina,NC,,163711,4008,3912,13,6988,6607,42980,146394,10084,7774,55,18523,16967,06/15/2021,
North Dakota,ND,,,301,299,1,,,,,635,633,1,,,06/15/2021,
Ohio,OH,,,4950,4925,11,,,,84501,9844,6854,135,,,06/15/2021,
Oklahoma,OK,,17286,1074,,,,,,33117,7454,,56,,,06/15/2021,
Oregon,OR,,,893,885,0,,,,29154,3616,3457,42,,,06/16/2021,
Pennsylvania,PA,,,4980,,,3519,3499,,129551,11454,,138,3028,28627,06/14/2021,"The vaccination numbers now include prisoners who have been released after being vaccinated and thus may appear to be a larger growth than it should. 25,850 prisoners have been fully vaccinated with the one-shot Johnson & Johnson vaccine. The state is also no longer reporting cases in community corrections, so we are adding in the last known number of cases there, 309. As a result, these case numbers are almost certainly an undercount."
Rhode Island,RI,,,457,455,1,,,,,1250,1245,2,,,06/18/2021,Subtracting 4 presumed positives among prisoners and 13 presumed positives from staff. 
South Carolina,SC,,,1149,1138,2,,,,41727,3356,3280,42,8360,8360,06/15/2021,
South Dakota,SD,,426,191,191,0,,,,9405,2344,2335,7,2227,,06/15/2021,Vaccines as of 6/14
Tennessee,TN,,,1545,1522,5,,,,50483,6697,6655,42,,,06/14/2021,"We have been told vaccinations have begun in this system, but they have not released breakdowns for the number of people vaccinated for this week."
Texas,TX,,246868,11788,11441,48,13330,12381,,567217,34690,33254,273,59110,51139,06/15/2021,"This week's prisoner deaths totals are based on data from the Texas Justice Initiative. 220 staff and 5,904 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine."
Utah,UT,,,,,,,,,,,,,,,06/15/2021,
Vermont,VT,,,113,112,0,0,467,3188,23974,464,464,0,,,06/14/2021,
Virginia,VA,,22893,2615,2602,5,7002,5546,,124978,9112,8960,56,19081,16970,06/17/2021,
Washington,WA,,,1293,,2,3731,,,,6252,6237,13,8381,,06/15/2021,"In late-June, Washington revised their total number of deaths, removing one case after reviewing updated an updated death certificate. We have adjusted this week's total accordingly."
West Virginia,WV,,14565,503,501,1,,812,,10956,1631,1612,12,,2457,06/17/2021,1654 prisoners fully vaccinated by the one-shot J&J vaccine. Vaccines as of 6/18
Wisconsin,WI,,,2580,2577,,,,,122021,10989,10776,32,10703,11785,06/15/2021,2098 people were fully vaccinated with Johnson & Johnson's one-shot vaccine. 
Wyoming,WY,,,,,,,,,,,,,,,06/15/2021,
Federal,US,,,6997,6868,4,,19118,115278,,,,256,,78858,06/15/2021,
Alabama,AL,,,1055,1046,3,865,,,16489,1661,1587,66,10589,,06/09/2021,
Alaska,AK,,,332,,0,,,,37608,2432,,5,3379,2982,06/09/2021,Vaccines as of June 7
Arizona,AZ,,,2782,2770,,,,47532,,12320,12246,63,,,06/08/2021,
Arkansas,AR,,,,,4,,,,,11409,11301,52,,,06/10/2021,"We have been told vaccinations have begun in this system, but they have not released numbers of people vaccinated for this week. The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count."
California,CA,,,,,28,34837,32499,127999,,49356,48404,224,70374,68111,06/08/2021,
Colorado,CO,,,1941,,0,3614,,,228996,8959,,29,10429,,06/08/2021,
Connecticut,CT,,84675,1690,1685,0,2697,,,134780,4546,4495,19,4817,,06/08/2021,
Delaware,DE,,6118,769,768,1,1291,1129,,14546,2064,2,13,2540,2004,06/11/2021,
Florida,FL,,,,,,,,,,,,,,,06/08/2021,
Georgia,GA,,,1742,1720,4,1629,,,,3869,3768,93,25957,,06/08/2021,
Hawaii,HI,,,265,252,0,,,,19171,2112,1963,9,,,06/08/2021,
Idaho,ID,6445,,483,480,0,250,214,11852,,4160,4089,6,4195,3830,06/08/2021,
Illinois,IL,,275701,4613,4568,1,,4868,,651228,10912,10904,88,,18895,06/08/2021,
Indiana,IN,,5713,1542,1513,4,,,,23782,3714,3654,51,13627,11832,06/08/2021,
Iowa,IA,,,709,705,2,1310,1324,,48711,4890,4865,19,3734,4641,06/10/2021,35 staff and 1101 prisoners were fully vaccinated with the single-shot Johnson & Johnson vaccine
Kansas,KS,,,1218,,6,1430,,,,6115,,16,6532,,06/07/2021,Vaccines as of 6/9
Kentucky,KY,,,1111,,5,,,,,7909,,48,7789,,06/11/2021,Vaccine numbers as of 6/9
Louisiana,LA,2476,,944,932,6,2205,2161,9227,,3209,3109,36,9440,8986,06/08/2021,Vaccinations as of June 9.
Maine,ME,,,,,,,,,10463,197,,,801,1179,06/11/2021,
Maryland,MD,,97065,2340,2323,4,4048,4059,,79361,4480,4445,30,11129,8858,06/11/2021,64 staff were fully vaccinated with the one-shot Johnson & Johnson vaccine
Massachusetts,MA,,,954,,,3137,2842,,40129,2574,,21,4796,4415,06/09/2021,
Michigan,MI,,253406,4401,,6,,,42092,952621,26691,26008,141,12465,20154,06/10/2021,Vaccines as of 6/11. 8325 prisoners received the one-shot Johnson & Johnson vaccine and were fully vaccinated.
Minnesota,MN,,,1136,946,0,,,,117782,4229,4219,12,1512,4672,06/08/2021,4016 prisoners have received the one-shot Johnson & Johnson vaccine. We remove 38 presumed positives from the recovered prisoners each week
Mississippi,MS,,,,,,692,546,,3448,1399,,23,12236,9485,06/08/2021,
Missouri,MO,,13002,2633,2606,6,,,,87923,5875,5807,48,13493,,06/10/2021,
Montana,MT,,,285,,0,,,,,1138,,6,,1053,06/09/2021,321 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine. Vaccines as of 6/11
Nebraska,NE,,,,,,,,3677,6786,983,977,6,,,06/11/2021,
Nevada,NV,,,1006,,3,1292,,,,4571,,,6471,,06/08/2021,
New Hampshire,NH,,,186,186,0,,,,2063,460,457,3,1375,1553,06/09/2021,214 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine.
New Jersey,NJ,,,,,,,,,,,,53,,,06/08/2021,
New Mexico,NM,,,973,970,0,1686,1675,,53452,2987,2958,28,4210,4028,06/08/2021,
New York,NY,,,,,8,,,,100886,6593,6532,35,,,06/08/2021,"NY audited its staff case numbers in mid-June and revised them after identifying a number of cases that had been counted twice. We have removed this previous week's total that was inaccurate, as a result."
North Carolina,NC,,160158,3987,3877,13,6988,6607,42743,144696,10079,7829,55,18523,16967,06/08/2021,
North Dakota,ND,1290,25011,300,299,1,,,3974,36870,634,633,1,1009,1143,06/08/2021,192 people were fully vaccinated with the one-shot Johnson & Johnson vaccine. Vaccine numbers as of 6/10
Ohio,OH,,,4946,4918,10,,,,83067,9843,6900,135,,,06/08/2021,
Oklahoma,OK,,17286,1074,,,,,,33028,7453,,56,,,06/08/2021,
Oregon,OR,,,892,883,0,,,,29153,3615,3457,42,,9276,06/09/2021,
Pennsylvania,PA,,,4978,,,3512,3492,,127081,11431,,138,3013,28349,06/06/2021,"The vaccination numbers now include prisoners who have been released after being vaccinated and thus may appear to be a larger growth than it should. 25,604 prisoners have been fully vaccinated with the one-shot Johnson & Johnson vaccine. The state is also no longer reporting cases in community corrections, so we are adding in the last known number of cases there, 309. As a result, these case numbers are almost certainly an undercount."
Rhode Island,RI,,,,,1,,,,,,,2,,,06/08/2021,
South Carolina,SC,,,1149,1134,2,,,,40561,3346,3259,42,8360,8216,06/08/2021,The number of prisoners partially vaccinated was reported to us incorrectly and has been updated.
South Dakota,SD,,425,191,191,0,,,,9223,2343,2335,7,,,06/08/2021,
Tennessee,TN,,,1543,1522,5,,,,49925,6697,6654,42,,,06/09/2021,"We have been told vaccinations have begun in this system, but they have not released breakdowns for the number of people vaccinated for this week."
Texas,TX,,242943,11774,11402,48,,,,557813,34679,33240,273,,,06/08/2021,This week's prisoner deaths totals are based on data from the Texas Justice Initiative.
Utah,UT,,,409,405,,,,,30465,3474,3452,18,390,385,06/11/2021,Vaccines as of 6/10
Vermont,VT,,,112,111,0,0,467,3154,23859,464,463,0,,860,06/08/2021,Last week switched prisoner vaccines from Moderna to J&J
Virginia,VA,,22820,2612,2591,5,6980,5510,,124097,9112,8960,56,18718,16630,06/10/2021,
Washington,WA,,,1290,,2,3723,,,,6252,6234,13,8230,,06/08/2021,"In late-June, Washington revised their total number of deaths, removing one case after reviewing updated an updated death certificate. We have adjusted this week's total accordingly."
West Virginia,WV,,14461,503,500,1,,812,,10898,1631,1612,12,,2452,06/11/2021,1649 fully vaccinated prisoners received the one-shot Johnson & Johnson vaccine.
Wisconsin,WI,,,2578,2569,,,,,120137,10987,10767,32,10594,11322,06/07/2021,2063 people were fully vaccinated with Johnson & Johnson's one-shot vaccine. Vaccines as of 6/6. Staff as of 6/7
Wyoming,WY,,,308,302,0,,,,34195,905,900,4,,,06/08/2021,
Federal,US,,,6979,6850,4,,19056,114926,,,,256,,75676,06/08/2021,
Alabama,AL,,,1053,1045,3,859,,,16429,1655,1585,66,10579,,06/02/2021,
Alaska,AK,,,330,,0,,,,34006,2430,,5,3344,2927,05/31/2021,
Arizona,AZ,,,2779,2766,,,,47487,,12318,12234,63,,,06/01/2021,
Arkansas,AR,,,,,4,,,,,11399,11295,52,,,06/02/2021,"We have been told vaccinations have begun in this system, but they have not released numbers of people vaccinated for this week. The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count."
California,CA,,,16815,16611,28,33259,30840,127305,,49298,48396,224,69946,67481,06/01/2021,Staff case numbers are as of June 4.
Colorado,CO,,,1929,,0,3606,,20326,226598,8959,,29,10343,,06/01/2021,
Connecticut,CT,,82819,1689,1684,0,2697,,,129735,4543,4467,19,4795,,06/01/2021,
Delaware,DE,,,,,1,,,,,,,13,,,06/01/2021,
Florida,FL,,,6066,5908,9,,,,,18072,17851,221,,,06/01/2021,
Georgia,GA,,,1739,1717,4,1589,,,,3868,3765,93,25364,,06/03/2021,
Hawaii,HI,,,259,248,0,,,,18828,2053,1963,9,,,06/01/2021,
Idaho,ID,6440,,482,480,0,249,213,11809,,4159,4089,6,3353,3033,06/01/2021,
Illinois,IL,,264287,4597,4534,1,,4868,,633996,10909,10897,88,,18895,06/01/2021,
Indiana,IN,,5708,1542,1511,4,,,,23601,3708,3644,51,13602,11013,06/01/2021,
Iowa,IA,,,709,705,2,1310,1323,,48475,4889,4864,19,3715,4460,06/04/2021,Vaccines as of 6/1
Kansas,KS,,,1218,,6,,,,,6114,,16,,,06/03/2021,
Kentucky,KY,,,1110,,5,,,,,7908,,48,,,06/04/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
Louisiana,LA,2474,,943,929,6,2199,2158,9141,,3208,3109,36,9362,8524,06/01/2021,Vaccinations as of June 2.
Maine,ME,,,,,,,,,10441,197,,,801,1139,06/04/2021,
Maryland,MD,,92576,2337,2317,4,4048,4059,,77043,4478,4440,30,10934,8087,06/04/2021,64 staff were fully vaccinated with the one-shot Johnson & Johnson vaccine
Massachusetts,MA,,,954,,,3133,2836,,38038,2574,,21,4752,4412,06/02/2021,
Michigan,MI,,247353,4392,,6,,,41997,929806,26684,25854,141,12445,20074,06/03/2021,vaccine numbers from 6/4. 8264 prisoners received the one-shot Johnson & Johnson vaccine and were fully vaccinated.
Minnesota,MN,,,1135,944,0,,,,117203,4229,4219,12,1330,4609,06/01/2021,3956 prisoners have received the one-shot Johnson & Johnson vaccine. We remove 38 presumed positives from the recovered prisoners each week
Mississippi,MS,,,,,,692,546,,3444,1399,,23,10844,8734,06/03/2021,
Missouri,MO,,12995,2616,2595,6,,,,86577,5855,5769,48,12663,,06/01/2021,
Montana,MT,,,285,,0,,,,,1138,,6,,1018,06/02/2021,297 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine. Vaccines as of 6/3
Nebraska,NE,,,,,,,,3676,6784,982,976,6,,,06/04/2021,
Nevada,NV,,,1006,,3,,,,,4568,,,,,06/01/2021,
New Hampshire,NH,,,186,186,0,,,,2034,460,457,3,,,06/01/2021,
New Jersey,NJ,,222257,2909,,,,,,299085,4804,,53,,,05/30/2021,
New Mexico,NM,,,972,966,0,1684,1671,,53452,2987,2958,28,3587,3185,06/01/2021,
New York,NY,,,,,8,7546,7928,,99966,6589,6526,35,3965,16447,06/02/2021,"398 staff and 9070 incarcerated individuals have been fully vaccinated with the one-shot Johnson & Johnson vaccine. NY audited its staff case numbers in mid-June and revised them after identifying a number of cases that had been counted twice. We have removed this previous week's total that was inaccurate, as a result."
North Carolina,NC,,153667,3984,3869,13,,,42485,142860,10072,7874,55,17552,15695,06/01/2021,
North Dakota,ND,1286,24978,300,299,1,,,3905,36686,634,633,1,1006,1133,06/04/2021,182 people were fully vaccinated with the one-shot Johnson & Johnson vaccine. Vaccine numbers as of 6/2 and tests as of 6/1
Ohio,OH,,,4942,4913,10,7475,,,82027,9840,6912,135,24362,,06/03/2021,
Oklahoma,OK,,17286,1074,,,,,,32944,7435,,56,,,06/02/2021,
Oregon,OR,,,885,878,0,,,,29152,3614,3456,42,,9276,06/01/2021,The number of vaccinated now includes those who have been released after being vaccinated.
Pennsylvania,PA,,,4975,,,3482,3462,,124711,11398,,138,2944,27917,06/01/2021,"The vaccination numbers now include prisoners who have been released after being vaccinated and thus may appear to be a larger growth than it should. 25,187 prisoners have been fully vaccinated with the one-shot Johnson & Johnson vaccine. The state is also no longer reporting cases in community corrections, so we are adding in the last known number of cases there, 309. As a result, these case numbers are almost certainly an undercount."
Rhode Island,RI,,,456,454,1,,902,,,1244,1241,2,,,06/04/2021,Subtracting 4 presumed positives among prisoners and 13 presumed positives from staff. 
South Carolina,SC,,,1138,1123,2,,,,39276,3334,3233,42,7012,6248,06/01/2021,
South Dakota,SD,,424,191,191,0,,,,9069,2342,2335,7,2194,,06/01/2021,Vaccine numbers only reflect currently incarcerated people.
Tennessee,TN,,,1543,1520,5,,,,49273,6696,6649,42,,,06/04/2021,"We have been told vaccinations have begun in this system, but they have not released breakdowns for the number of people vaccinated for this week."
Texas,TX,,239137,11751,11374,48,13232,12125,,545479,34658,33190,273,,,06/01/2021,This week's prisoner deaths totals are based on data from the Texas Justice Initiative.
Utah,UT,,,402,396,,,,,29901,3472,3448,18,380,375,06/03/2021,
Vermont,VT,,,112,111,0,0,467,3126,23444,463,,0,859,,06/01/2021,They're only reporting incarcerated people *currently in their custody* who have received at least one dose.
Virginia,VA,,21766,2605,2578,5,6964,5489,,120722,9112,8960,56,18412,16429,06/03/2021,
Washington,WA,,,1282,,2,3716,,,,6252,6225,13,7989,,06/01/2021,"In late-June, Washington revised their total number of deaths, removing one case after reviewing updated an updated death certificate. We have adjusted this week's total accordingly."
West Virginia,WV,,14307,502,498,1,,812,,10755,1631,1610,12,,2388,06/04/2021,1585 fully vaccinated prisoners received the one-shot Johnson & Johnson vaccine.
Wisconsin,WI,,,2574,2564,,,,,118963,10986,10766,32,10464,10715,06/01/2021,1952 people were fully vaccinated with Johnson & Johnson's one-shot vaccine
Wyoming,WY,,,304,301,0,,,,33434,903,897,3,,,06/01/2021,
Federal,US,,,6972,6837,4,,19000,114733,,,,255,,73050,06/01/2021,
Alabama,AL,,,1052,1043,3,855,,,16334,1654,1584,66,8813,,05/26/2021,
Alaska,AK,,,330,,0,,,,34006,2427,,5,3289,2830,05/26/2021,
Arizona,AZ,,,2772,2764,,,,47269,,12307,12226,,,,05/25/2021,
Arkansas,AR,,,,,4,,,,,11376,11298,52,,,05/27/2021,"We have been told vaccinations have begun in this system, but they have not released numbers of people vaccinated for this week. The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count."
California,CA,,,16770,16694,28,33231,30800,126921,,49254,48395,224,69798,67329,05/28/2021,
Colorado,CO,,,1920,,0,3524,,20251,223801,8956,,29,10239,,05/26/2021,
Connecticut,CT,,79422,1687,1681,0,2697,,,125072,4523,4458,19,4714,,05/25/2021,
Delaware,DE,,,,,1,,,,,,,13,,,05/25/2021,
Florida,FL,,,,,9,,,,,,,221,,,05/25/2021,
Georgia,GA,,,1739,1715,4,1494,,,,3867,3765,93,24139,,05/25/2021,
Hawaii,HI,,,250,235,0,,,,18325,1980,1959,9,,,05/25/2021,
Idaho,ID,6437,,482,479,0,249,213,11804,,4148,4089,6,3029,2272,05/25/2021,
Illinois,IL,,256100,4576,4504,1,,,,616682,10904,10892,88,,18895,05/25/2021,
Indiana,IN,,5697,1537,1511,4,,,,23268,3703,3643,51,13259,7852,05/25/2021,
Iowa,IA,,,707,704,2,1310,1315,,48019,4889,4864,19,3712,3981,05/25/2021,30 Staff and 926 prisoners have received the one-shot Johnson and Johnson vaccine.
Kansas,KS,,,1218,,6,,,,,6114,,16,,,05/27/2021,
Kentucky,KY,,,1107,,5,,,,,7908,,48,,,05/27/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
Louisiana,LA,2472,,939,927,6,2193,2152,9119,,3207,3108,36,9336,7882,05/26/2021,
Maine,ME,,,,,,,,,10389,197,,,790,761,05/28/2021,
Maryland,MD,,91496,2334,2301,4,4048,4059,,76314,4477,4436,30,10639,7825,05/28/2021,
Massachusetts,MA,,,953,,,3133,2836,,37750,2573,,21,4687,4404,05/26/2021,
Michigan,MI,,240818,4387,,6,,,41925,909819,26679,25698,,12412,19833,05/28/2021,vaccine numbers from 5/28. 8097 prisoners received the one-shot Johnson & Johnson vaccine and were fully vaccinated.
Minnesota,MN,,,1134,943,0,,2152,,116542,4229,4206,12,1297,4534,05/25/2021,3888 prisoners have received the one-shot Johnson & Johnson vaccine. We remove 38 presumed positives from the recovered prisoners each week
Mississippi,MS,,,,,,,,,,1399,,23,10844,8734,05/25/2021,
Missouri,MO,,12995,2611,2591,6,,,,86577,5848,5749,48,12476,,05/25/2021,
Montana,MT,,,285,,0,,,,,1138,,6,,,05/25/2021,
Nebraska,NE,,,,,,,,3676,6784,982,976,6,,,05/28/2021,
Nevada,NV,,,1005,,3,1280,,,,4566,,,6318,,05/25/2021,
New Hampshire,NH,,,186,186,0,,,,2031,460,457,3,1352,1490,05/28/2021,Vaccine numbers as of 5/24/21. 186 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine.
New Jersey,NJ,,,,,,,,,,,,53,,,05/25/2021,
New Mexico,NM,,,971,965,0,1681,1668,,53452,2987,2958,28,3532,2834,05/25/2021,
New York,NY,,,,,8,7546,7880,,98671,6576,6517,35,3938,11667,05/25/2021,"354 staff and 8452 incarcerated individuals have been fully vaccinated with the one-shot Johnson & Johnson vaccine. NY audited its staff case numbers in mid-June and revised them after identifying a number of cases that had been counted twice. We have removed this previous week's total that was inaccurate, as a result."
North Carolina,NC,,149982,3975,3850,13,6982,6403,42279,141318,10068,7899,55,17552,15695,05/25/2021,
